movie_id,title,movie_rating,run_time,meta_score,imdb_rating,director,writer,actor,genre_name,Year,Predictions_BoxOffice,label_boxoffice
1777,Ernest Goes to Jail,PG,81.0,0.0,5.4,Tom Ropelewski,Charlie Cohen,Jim Varney,Comedy,1990,1,1
1782,Two Evil Eyes,R,120.0,0.0,6.1,James Ivory,Edgar Allan Poe,Adrienne Barbeau,Horror,1991,1,1
1785,Crazy People,R,90.0,0.0,6.0,Jan Egleson,Mitch Markowitz,Dudley Moore,Comedy,1990,1,1
1792,Stanley & Iris,PG-13,104.0,0.0,6.4,Franco Amurri,Pat Barker,Jane Fonda,Drama,1990,1,5
1799,Everybody's Fine,PG-13,118.0,0.0,7.7,Patrick Read Johnson,Massimo De Rita,Marcello Mastroianni,Drama,1991,1,1
1800,Spaced Invaders,PG,100.0,0.0,5.3,Michael Lehmann,Patrick Read Johnson,Douglas Barr,Adventure,1990,1,1
1801,Meet the Applegates,R,90.0,0.0,5.5,Alan Alda,Michael Lehmann,Ed Begley Jr.,Comedy,1991,1,1
1803,Def by Temptation,R,95.0,0.0,4.7,James D. Parriott,James Bond III,James Bond III,Horror,1990,1,1
1807,Streets,R,85.0,0.0,5.7,John Erman,Andy Ruben,Christina Applegate,Action,1990,1,1
1810,Loose Cannons,R,94.0,0.0,4.9,Éric Rohmer,Richard Christian Matheson,Gene Hackman,Action,1990,1,5
1812,To Sleep with Anger,PG,102.0,0.0,7.2,John Boorman,Charles Burnett,Danny Glover,Drama,1990,1,1
1820,Come See the Paradise,R,138.0,0.0,6.7,Derek Jarman,Alan Parker,Dennis Quaid,Drama,1991,1,6
1824,May Fools,R,107.0,0.0,7.3,John Mackenzie,Louis Malle,Miou-Miou,Comedy,1990,1,1
1828,Funny About Love,PG-13,101.0,0.0,4.9,Prince,Bob Greene,Gene Wilder,Comedy,1990,1,5
1834,The Haunting of Morella,R,82.0,0.0,4.4,John Frankenheimer,Edgar Allan Poe,Nicole Eggert,Horror,1990,1,1
1839,Heaven and Earth,PG-13,125.0,0.0,7.0,David Leland,Haruki Kadokawa,Takaaki Enoki,Action,1991,1,0
1851,The Addams Family,PG-13,99.0,0.0,6.9,Ridley Scott,Charles Addams,Anjelica Huston,Comedy,1991,1,1
1852,Thelma & Louise,R,130.0,0.0,7.5,Alfonso Cuarón,Callie Khouri,Susan Sarandon,Adventure,1991,1,1
1855,The Doors,R,140.0,0.0,7.2,Gary Trousdale,Randall Jahnson,Val Kilmer,Biography,1991,1,1
1859,The Rocketeer,PG,108.0,0.0,6.5,Howard Zieff,Dave Stevens,Billy Campbell,Action,1991,1,1
1860,My Girl,PG,102.0,0.0,6.9,Ron Howard,Laurice Elehwany,Anna Chlumsky,Comedy,1991,1,5
1864,City Slickers,PG-13,113.0,0.0,6.8,Stephen Herek,Lowell Ganz,Billy Crystal,Comedy,1991,1,1
1870,Return to the Blue Lagoon,PG-13,102.0,0.0,5.2,Tony Scott,Henry De Vere Stacpoole,Brian Krause,Adventure,1991,1,1
1878,Barton Fink,R,116.0,0.0,7.7,Dan Aykroyd,Joel Coen,John Turturro,Comedy,1991,1,5
1879,Nothing But Trouble,PG-13,94.0,0.0,5.1,Frank Oz,Peter Aykroyd,Chevy Chase,Comedy,1991,1,5
1882,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,88.0,0.0,6.0,David Zucker,Kevin Eastman,Paige Turco,Action,1991,1,5
1884,Double Impact,R,110.0,0.0,5.6,Alan Parker,Sheldon Lettich,Jean-Claude Van Damme,Action,1991,1,1
1887,The Double Life of Véronique,R,98.0,0.0,7.8,Mario Van Peebles,Krzysztof Kieslowski,Irène Jacob,Drama,1991,1,1
1889,Toy Soldiers,R,111.0,0.0,6.6,Wes Craven,William P. Kennedy,Sean Astin,Action,1991,1,1
1890,The People Under the Stairs,R,102.0,0.0,6.4,Mike Nichols,Wes Craven,Brandon Quintin Adams,Comedy,1991,1,1
1891,Regarding Henry,PG-13,108.0,0.0,6.7,Barry Levinson,J.J. Abrams,Harrison Ford,Drama,1991,1,1
1892,Bugsy,R,136.0,0.0,6.8,Michael Caton-Jones,James Toback,Warren Beatty,Biography,1991,1,1
1896,Child's Play 3,R,90.0,0.0,5.1,Rachel Talalay,Don Mancini,Justin Whalin,Horror,1991,1,1
1900,Highlander II: The Quickening,R,91.0,0.0,4.2,Craig R. Baxley,Gregory Widen,Christopher Lambert,Action,1991,1,1
1902,Wild Hearts Can't Be Broken,G,88.0,0.0,7.2,Mark L. Lester,Matt Williams,Gabrielle Anwar,Drama,1991,1,5
1903,Showdown in Little Tokyo,R,79.0,0.0,6.1,Spike Lee,Stephen Glantz,Dolph Lundgren,Action,1991,1,1
1906,Not Without My Daughter,PG-13,116.0,0.0,6.4,Albert Brooks,Betty Mahmoody,Sally Field,Drama,1991,1,1
1908,Flight of the Intruder,PG-13,115.0,0.0,5.8,Brian Levant,Stephen Coonts,Danny Glover,Action,1991,1,1
1913,Rush,R,120.0,0.0,6.8,Kenneth Branagh,Kim Wozencraft,Jason Patric,Action,1992,1,5
1914,Dead Again,R,107.0,0.0,6.9,John Flynn,Scott Frank,Kenneth Branagh,Crime,1991,1,1
1918,An American Tail: Fievel Goes West,G,75.0,0.0,6.5,Phil Nibbelink,Flint Dille,James Stewart,Animation,1991,1,1
1926,The Rapture,R,100.0,0.0,6.3,Michael Tolkin,Michael Tolkin,Mimi Rogers,Drama,1991,1,1
1933,White Fang,PG,107.0,0.0,6.7,Randal Kleiser,Jack London,Ethan Hawke,Adventure,1991,1,1
1936,Dutch,PG-13,107.0,0.0,6.5,Peter Faiman,John Hughes,Ed O'Neill,Comedy,1991,1,1
1937,Shattered,R,98.0,0.0,6.5,Wolfgang Petersen,Richard Neely,Tom Berenger,Crime,1991,1,1
1939,Suburban Commando,PG,90.0,0.0,4.5,Burt Kennedy,Frank A. Cappello,Hulk Hogan,Action,1991,1,5
1940,Popcorn,R,91.0,0.0,5.8,Mark Herrier,Mitchell Smith,Jill Schoelen,Comedy,1991,1,1
1943,If Looks Could Kill,PG-13,88.0,0.0,5.8,William Dear,Fred Dekker,Richard Grieco,Action,1991,1,5
1947,Whore,NC-17,85.0,0.0,5.6,Ken Russell,David Hines,Theresa Russell,Drama,1991,1,1
1961,Kafka,PG-13,98.0,0.0,6.9,Steven Soderbergh,Lem Dobbs,Jeremy Irons,Drama,1991,1,1
1962,Johnny Suede,R,97.0,0.0,5.8,Tom DiCillo,Tom DiCillo,Brad Pitt,Comedy,1992,1,6
1966,Mississippi Masala,R,118.0,0.0,6.7,Mira Nair,Sooni Taraporevala,Denzel Washington,Drama,1992,1,5
1973,House Party 2,R,94.0,0.0,5.3,George Jackson,Reginald Hudlin,Christopher Reid,Comedy,1991,1,1
1975,The Perfect Weapon,R,83.0,0.0,6.0,Mark DiSalle,David C. Wilson,Jeff Speakman,Action,1991,1,1
1985,F/X2,PG-13,108.0,0.0,5.9,Richard Franklin,Robert T. Megginson,Bryan Brown,Action,1991,1,1
1987,Mortal Thoughts,R,103.0,0.0,5.7,Alan Rudolph,William Reilly,Demi Moore,Mystery,1991,1,1
1992,Eve of Destruction,R,99.0,0.0,4.9,Duncan Gibbins,Duncan Gibbins,Gregory Hines,Action,1991,1,5
1993,A Rage in Harlem,R,115.0,0.0,5.9,Bill Duke,Chester Himes,Forest Whitaker,Comedy,1991,1,1
1999,At Play in the Fields of the Lord,R,189.0,0.0,6.8,Hector Babenco,Peter Matthiessen,Tom Berenger,Drama,1991,1,1
2000,True Colors,R,111.0,0.0,6.3,Herbert Ross,Kevin Wade,John Cusack,Drama,1991,1,1
2013,Strictly Business,PG-13,83.0,0.0,5.5,Kevin Hooks,Pam Gibson,Tommy Davidson,Comedy,1991,1,5
2024,Madame Bovary,PG-13,143.0,0.0,6.6,Claude Chabrol,Gustave Flaubert,Isabelle Huppert,Drama,1991,1,1
2040,Stepping Out,PG,106.0,0.0,6.4,Lewis Gilbert,Richard Harris,Liza Minnelli,Comedy,1991,1,1
2043,Defenseless,R,104.0,0.0,5.6,Martin Campbell,James Cresson,Barbara Hershey,Mystery,1991,1,5
2045,Basic Instinct,R,127.0,0.0,7.0,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Drama,1992,1,1
2047,My Cousin Vinny,R,120.0,0.0,7.6,Jonathan Lynn,Dale Launer,Joe Pesci,Comedy,1992,1,5
2052,A League of Their Own,PG,128.0,0.0,7.3,Penny Marshall,Kim Wilson,Tom Hanks,Comedy,1992,1,1
2054,Scent of a Woman,R,156.0,0.0,8.0,Martin Brest,Giovanni Arpino,Al Pacino,Drama,1993,1,1
2057,Aladdin,G,90.0,0.0,8.0,Ron Clements,Ron Clements,Scott Weinger,Animation,1992,1,5
2059,Alien 3,R,114.0,0.0,6.5,David Fincher,Dan O'Bannon,Sigourney Weaver,Action,1992,1,1
2080,Home Alone 2: Lost in New York,PG,120.0,0.0,6.8,Chris Columbus,John Hughes,Macaulay Culkin,Adventure,1992,1,1
2086,Poison Ivy,R,93.0,0.0,5.4,Katt Shea,Melissa Goddard,Drew Barrymore,Drama,1992,1,1
2103,Juice,R,95.0,0.0,7.1,Ernest R. Dickerson,Ernest R. Dickerson,Omar Epps,Action,1992,1,1
2107,3 Ninjas,PG,84.0,0.0,5.3,Jon Turteltaub,Kenny Kim,Victor Wong,Action,1992,1,1
2111,Captain Ron,PG-13,100.0,0.0,5.8,Thom Eberhardt,John Dwyer,Kurt Russell,Adventure,1992,1,1
2112,The Cutting Edge,PG,101.0,0.0,6.9,Paul Michael Glaser,Tony Gilroy,D.B. Sweeney,Comedy,1992,1,1
2118,Strictly Ballroom,PG,94.0,0.0,7.2,Baz Luhrmann,Baz Luhrmann,Paul Mercurio,Comedy,1993,1,1
2119,Raising Cain,R,92.0,0.0,6.1,Brian De Palma,Brian De Palma,John Lithgow,Crime,1992,1,1
2122,Split Second,R,90.0,0.0,6.2,Tony Maylam,Gary Scott Thompson,Rutger Hauer,Action,1992,1,5
2131,Sidekicks,PG,101.0,0.0,5.1,Aaron Norris,Lou Illar,Chuck Norris,Action,1993,1,1
2134,Thunderheart,R,119.0,0.0,6.8,Michael Apted,John Fusco,Val Kilmer,Crime,1992,1,1
2135,Stop! Or My Mom Will Shoot,PG-13,87.0,0.0,4.3,Roger Spottiswoode,Blake Snyder,Sylvester Stallone,Action,1992,1,5
2136,Innocent Blood,R,112.0,0.0,6.2,John Landis,Michael Wolk,Anne Parillaud,Action,1992,1,1
2139,Final Analysis,R,124.0,0.0,5.9,Phil Joanou,Robert Berger,Richard Gere,Drama,1992,1,1
2142,Consenting Adults,R,99.0,0.0,5.7,Alan J. Pakula,Matthew Chapman,Kevin Kline,Crime,1992,1,1
2143,Fortress,R,95.0,0.0,5.9,Stuart Gordon,Troy Neighbors,Christopher Lambert,Action,1993,1,5
2148,Bébé's Kids,PG-13,72.0,0.0,5.8,Bruce W. Smith,Robin Harris,Faizon Love,Animation,1992,1,5
2150,Peter's Friends,R,101.0,0.0,7.0,Kenneth Branagh,Rita Rudner,Hugh Laurie,Comedy,1992,1,1
2151,Freejack,R,110.0,0.0,5.4,Geoff Murphy,Robert Sheckley,Emilio Estevez,Action,1992,1,1
2155,Class Act,PG-13,98.0,0.0,6.1,Randall Miller,Michael Swerdlick,Christopher Reid,Comedy,1992,1,1
2156,Diggstown,R,98.0,0.0,7.0,Michael Ritchie,Leonard Wise,James Woods,Drama,1992,1,1
2157,Indochine,PG-13,160.0,0.0,7.1,Régis Wargnier,Erik Orsenna,Catherine Deneuve,Drama,1992,1,5
2162,Husbands and Wives,R,108.0,0.0,7.5,Woody Allen,Woody Allen,Woody Allen,Comedy,1992,1,1
2166,Wind,PG-13,126.0,0.0,6.4,Carroll Ballard,Jeff Benjamin,Matthew Modine,Action,1992,1,5
2182,Light Sleeper,R,103.0,0.0,6.8,Paul Schrader,Paul Schrader,Willem Dafoe,Crime,1992,1,1
2189,Where the Day Takes You,R,105.0,0.0,6.6,Marc Rocco,Michael Hitchcock,Dermot Mulroney,Crime,1992,1,1
2191,That Night,PG-13,89.0,0.0,6.6,Craig Bolotin,Alice McDermott,C. Thomas Howell,Drama,1993,1,1
2193,American Heart,R,113.0,0.0,6.7,Martin Bell,Peter Silverman,Jeff Bridges,Crime,1993,1,1
2203,Into the West,PG,97.0,0.0,7.0,Mike Newell,Jim Sheridan,Gabriel Byrne,Adventure,1993,1,1
2204,The Playboys,PG-13,117.0,0.0,6.3,Gillies MacKinnon,Shane Connaughton,Albert Finney,Drama,1992,1,1
2207,Qing shao nian nuo zha,Not Rated,106.0,0.0,7.6,Ming-liang Tsai,Ming-liang Tsai,Chao-jung Chen,Crime,1994,1,1
2208,Love Field,PG-13,105.0,0.0,6.6,Jonathan Kaplan,Don Roos,Michelle Pfeiffer,Drama,1993,1,1
2209,Mr. Saturday Night,R,119.0,0.0,5.9,Billy Crystal,Billy Crystal,Billy Crystal,Comedy,1992,1,1
2210,Twin Dragons,PG-13,104.0,0.0,6.5,Ringo Lam,Barry Wong,Jackie Chan,Action,1999,1,5
2215,Folks!,PG-13,107.0,0.0,5.7,Ted Kotcheff,Robert Klane,Tom Selleck,Comedy,1992,1,5
2217,Night and the City,R,105.0,0.0,5.8,Irwin Winkler,Gerald Kersh,Robert De Niro,Comedy,1992,1,5
2225,Out on a Limb,PG,93.0,0.0,5.3,Francis Veber,Daniel Goldin,Matthew Broderick,Comedy,1992,1,1
2232,The Waterdance,R,106.0,0.0,6.8,Neal Jimenez,Neal Jimenez,Eric Stoltz,Drama,1992,1,1
2234,This Is My Life,PG-13,105.0,0.0,6.1,Nora Ephron,Meg Wolitzer,Julie Kavner,Drama,1992,1,1
2241,Once Upon a Time in China III,R,109.0,0.0,6.8,Hark Tsui,Tin-suen Chan,Jet Li,Action,1993,1,0
2247,Dazed and Confused,R,102.0,0.0,7.6,Richard Linklater,Richard Linklater,Jason London,Comedy,1993,1,5
2251,Robin Hood: Men in Tights,PG-13,104.0,0.0,6.7,Mel Brooks,J.D. Shapiro,Cary Elwes,Adventure,1993,1,1
2252,A Bronx Tale,R,121.0,0.0,7.8,Robert De Niro,Chazz Palminteri,Robert De Niro,Crime,1993,1,1
2253,What's Eating Gilbert Grape,PG-13,118.0,0.0,7.7,Lasse Hallström,Peter Hedges,Johnny Depp,Drama,1994,1,1
2255,Carlito's Way,R,144.0,0.0,7.9,Brian De Palma,Edwin Torres,Al Pacino,Crime,1993,1,5
2259,Dennis the Menace,PG,94.0,0.0,5.6,Nick Castle,Hank Ketcham,Walter Matthau,Comedy,1993,1,1
2271,The Nightmare Before Christmas,PG,76.0,0.0,8.0,Henry Selick,Tim Burton,Danny Elfman,Animation,1993,1,6
2275,Alive,R,120.0,0.0,7.1,Frank Marshall,Piers Paul Read,Ethan Hawke,Biography,1993,1,1
2278,In the Line of Fire,R,128.0,0.0,7.2,Wolfgang Petersen,Jeff Maguire,Clint Eastwood,Action,1993,1,1
2286,RoboCop 3,PG-13,104.0,0.0,4.1,Fred Dekker,Edward Neumeier,Robert John Burke,Action,1993,1,1
2289,Fire in the Sky,PG-13,109.0,0.0,6.5,Robert Lieberman,Travis Walton,D.B. Sweeney,Biography,1993,1,1
2290,Cool Runnings,PG,98.0,0.0,7.0,Jon Turteltaub,Lynn Siefert,John Candy,Adventure,1993,1,1
2292,Kalifornia,R,117.0,0.0,6.7,Dominic Sena,Stephen Levy,Brad Pitt,Crime,1993,1,1
2294,Sliver,R,107.0,0.0,5.0,Phillip Noyce,Ira Levin,Sharon Stone,Drama,1993,1,1
2298,Hot Shots! Part Deux,PG-13,86.0,0.0,6.6,Jim Abrahams,Jim Abrahams,Charlie Sheen,Action,1993,1,1
2299,Much Ado About Nothing,PG-13,111.0,0.0,7.3,Kenneth Branagh,William Shakespeare,Kenneth Branagh,Comedy,1993,1,1
2301,Loaded Weapon 1,PG-13,84.0,0.0,6.2,Gene Quintano,Don Holley,Emilio Estevez,Action,1993,1,1
2302,This Boy's Life,R,115.0,0.0,7.3,Michael Caton-Jones,Tobias Wolff,Robert De Niro,Biography,1993,1,1
2309,Short Cuts,R,188.0,0.0,7.7,Robert Altman,Raymond Carver,Andie MacDowell,Comedy,1993,1,5
2310,Son in Law,PG-13,95.0,0.0,5.8,Steve Rash,Patrick J. Clifton,Pauly Shore,Comedy,1993,1,1
2315,Matinee,PG,99.0,0.0,6.9,Joe Dante,Jerico Stone,John Goodman,Comedy,1993,1,6
2316,The Good Son,R,87.0,0.0,6.4,Joseph Ruben,Ian McEwan,Macaulay Culkin,Drama,1993,1,5
2319,Killing Zoe,R,96.0,0.0,6.5,Roger Avary,Roger Avary,Eric Stoltz,Crime,1994,1,1
2326,Rising Sun,R,129.0,0.0,6.3,Philip Kaufman,Michael Crichton,Sean Connery,Action,1993,1,1
2329,Body Snatchers,R,87.0,0.0,6.0,Abel Ferrara,Jack Finney,Gabrielle Anwar,Horror,1994,1,1
2330,Stalingrad,Not Rated,134.0,0.0,7.5,Joseph Vilsmaier,Jürgen Büscher,Dominique Horwitz,Drama,1993,1,1
2331,Airborne,PG,91.0,0.0,6.3,Rob Bowman,Bill Apablasa,Shane McDermott,Adventure,1993,1,1
2332,The Thing Called Love,PG-13,116.0,0.0,6.4,Peter Bogdanovich,Carol Heikkinen,River Phoenix,Comedy,1993,1,1
2338,Poetic Justice,R,109.0,0.0,6.1,John Singleton,John Singleton,Janet Jackson,Drama,1993,1,1
2340,The Cement Garden,Not Rated,101.0,0.0,7.1,Andrew Birkin,Andrew Birkin,Charlotte Gainsbourg,Drama,1994,1,1
2344,Swing Kids,PG-13,112.0,0.0,6.8,Thomas Carter,Jonathan Marc Feldman,Robert Sean Leonard,Drama,1993,1,5
2345,Heart and Souls,PG-13,104.0,0.0,7.0,Ron Underwood,Gregory Hansen,Robert Downey Jr.,Comedy,1993,1,1
2346,Needful Things,R,120.0,0.0,6.3,Fraser C. Heston,Stephen King,Max von Sydow,Crime,1993,1,1
2365,Weekend at Bernie's II,PG,97.0,0.0,4.8,Robert Klane,Robert Klane,Andrew McCarthy,Adventure,1993,1,1
2366,Les visiteurs,R,107.0,0.0,7.1,Jean-Marie Poiré,Christian Clavier,Christian Clavier,Comedy,1996,1,5
2374,Mi vida loca,R,92.0,0.0,6.5,Allison Anders,Allison Anders,Angel Aviles,Crime,1994,1,1
2377,Fatal Instinct,PG-13,91.0,0.0,5.8,Carl Reiner,David O'Malley,Armand Assante,Comedy,1993,1,5
2380,Heaven & Earth,R,140.0,0.0,6.8,Oliver Stone,Le Ly Hayslip,Hiep Thi Le,Action,1994,1,5
2383,Posse,R,111.0,0.0,5.5,Mario Van Peebles,Sy Richardson,Mario Van Peebles,Western,1993,1,1
2386,Even Cowgirls Get the Blues,R,106.0,0.0,4.4,Gus Van Sant,Tom Robbins,Uma Thurman,Comedy,1994,1,1
2404,A Far Off Place,PG,108.0,0.0,6.6,Mikael Salomon,Lourens van der Post,Reese Witherspoon,Adventure,1993,1,1
2417,Cop & ½,PG,97.0,0.0,4.1,Henry Winkler,Arne Olsen,Burt Reynolds,Comedy,1993,1,1
2419,Caro diario,Unrated,100.0,0.0,7.3,Nanni Moretti,Nanni Moretti,Nanni Moretti,Biography,1994,1,1
2428,Bhaji on the Beach,R,101.0,0.0,6.4,Gurinder Chadha,Gurinder Chadha,Kim Vithana,Comedy,1994,1,5
2429,Silent Tongue,PG-13,102.0,0.0,5.3,Sam Shepard,Sam Shepard,Alan Bates,Drama,1995,1,5
2432,Born Yesterday,PG,100.0,0.0,5.2,Luis Mandoki,Garson Kanin,Melanie Griffith,Comedy,1993,1,1
2434,The Nutcracker,G,92.0,0.0,5.9,Emile Ardolino,Susan Cooper,Darci Kistler,Family,1993,1,1
2435,Philadelphia Experiment II,PG-13,97.0,0.0,4.5,Stephen Cornwell,Wallace C. Bennett,Brad Johnson,Action,1994,1,1
2436,Blue,Not Rated,79.0,0.0,7.3,Derek Jarman,Derek Jarman,Derek Jarman,Biography,1993,1,0
2437,Fear of a Black Hat,R,88.0,0.0,7.2,Rusty Cundieff,Rusty Cundieff,Larry B. Scott,Comedy,1994,1,1
2443,The Night We Never Met,R,99.0,0.0,6.0,Warren Leight,Warren Leight,Matthew Broderick,Comedy,1993,1,1
2446,Forrest Gump,PG-13,142.0,0.0,8.8,Robert Zemeckis,Winston Groom,Tom Hanks,Drama,1994,1,5
2448,True Lies,R,141.0,0.0,7.2,James Cameron,Claude Zidi,Arnold Schwarzenegger,Action,1994,1,1
2449,The Lion King,G,88.0,0.0,8.5,Roger Allers,Irene Mecchi,Matthew Broderick,Animation,1994,1,1
2454,Dumb and Dumber,PG-13,107.0,0.0,7.3,Peter Farrelly,Peter Farrelly,Jim Carrey,Comedy,1994,1,1
2462,Little Women,PG,115.0,0.0,7.3,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,Drama,1994,1,5
2463,Street Fighter,PG-13,102.0,0.0,4.0,Steven E. de Souza,Steven E. de Souza,Jean-Claude Van Damme,Action,1994,1,6
2472,The Last Seduction,R,110.0,0.0,7.1,John Dahl,Steve Barancik,Linda Fiorentino,Crime,1994,1,5
2476,Star Trek: Generations,PG,118.0,0.0,6.6,David Carson,Gene Roddenberry,Patrick Stewart,Action,1994,1,1
2477,Disclosure,R,128.0,0.0,6.1,Barry Levinson,Michael Crichton,Michael Douglas,Drama,1994,1,1
2478,Angels in the Outfield,PG,102.0,0.0,6.2,William Dear,Dorothy Kingsley,Danny Glover,Comedy,1994,1,5
2484,Sirens,R,98.0,0.0,5.9,John Duigan,John Duigan,Hugh Grant,Comedy,1994,1,5
2489,The River Wild,PG-13,111.0,0.0,6.4,Curtis Hanson,Denis O'Neill,Meryl Streep,Adventure,1994,1,6
2493,Blown Away,R,121.0,0.0,6.2,Stephen Hopkins,John Rice,Jeff Bridges,Action,1994,1,1
2495,North,PG,87.0,0.0,4.5,Rob Reiner,Alan Zweibel,Elijah Wood,Adventure,1994,1,5
2496,Muriel's Wedding,R,106.0,0.0,7.2,P.J. Hogan,P.J. Hogan,Toni Collette,Comedy,1995,1,1
2501,Once Were Warriors,R,102.0,0.0,7.9,Lee Tamahori,Riwia Brown,Rena Owen,Crime,1995,1,1
2504,Exit to Eden,R,113.0,0.0,4.3,Garry Marshall,Anne Rice,Dana Delany,Comedy,1994,1,5
2509,The Specialist,R,110.0,0.0,5.6,Luis Llosa,John Shirley,Sylvester Stallone,Action,1994,1,1
2512,Serial Mom,R,95.0,0.0,6.8,John Waters,John Waters,Kathleen Turner,Comedy,1994,1,5
2515,When a Man Loves a Woman,R,126.0,0.0,6.6,Luis Mandoki,Ronald Bass,Meg Ryan,Drama,1994,1,5
2518,Surviving the Game,R,96.0,0.0,6.2,Ernest R. Dickerson,Eric Bernt,Rutger Hauer,Action,1994,1,5
2519,My Father the Hero,PG,90.0,0.0,5.5,Steve Miner,Gérard Lauzier,Gérard Depardieu,Comedy,1994,1,1
2523,Chasers,R,102.0,0.0,5.1,Dennis Hopper,Joe Batteer,Tom Berenger,Action,1994,1,1
2526,Torment,Not Rated,102.0,0.0,7.1,Claude Chabrol,Claude Chabrol,Emmanuelle Béart,Crime,1994,1,1
2529,Clifford,PG,90.0,0.0,5.5,Paul Flaherty,William Porter,Martin Short,Comedy,1994,1,5
2530,Thumbelina,G,86.0,0.0,6.4,Don Bluth,Hans Christian Andersen,Jodi Benson,Animation,1994,1,1
2542,Greedy,PG-13,113.0,0.0,6.3,Jonathan Lynn,Lowell Ganz,Michael J. Fox,Comedy,1994,1,1
2545,Little Big League,PG,119.0,0.0,6.1,Andrew Scheinman,Gregory K. Pincus,Luke Edwards,Comedy,1994,1,1
2547,Ready to Wear,R,133.0,0.0,5.2,Robert Altman,Robert Altman,Sophia Loren,Comedy,1994,1,1
2548,Bullets Over Broadway,R,98.0,0.0,7.4,Woody Allen,Woody Allen,John Cusack,Comedy,1995,1,1
2551,Spanking the Monkey,Unrated,100.0,0.0,6.3,David O. Russell,David O. Russell,Jeremy Davies,Comedy,1994,1,1
2553,Intersection,R,98.0,0.0,5.4,Mark Rydell,David Rayfiel,Richard Gere,Drama,1994,1,1
2554,Sister My Sister,R,86.0,0.0,6.6,Nancy Meckler,Wendy Kesselman,Julie Walters,Drama,1995,1,1
2555,Miracle on 34th Street,PG,114.0,0.0,6.5,Les Mayfield,Valentine Davies,Richard Attenborough,Family,1994,1,1
2563,Jason's Lyric,R,119.0,0.0,6.6,Doug McHenry,Bobby Smith Jr.,Allen Payne,Crime,1994,1,1
2566,Blue Chips,PG-13,108.0,0.0,6.2,William Friedkin,Ron Shelton,Nick Nolte,Drama,1994,1,1
2572,Cemetery Man,R,105.0,0.0,7.1,Michele Soavi,Tiziano Sclavi,Rupert Everett,Comedy,1996,1,1
2574,Ashes of Time,R,100.0,0.0,7.1,Kar-Wai Wong,Louis Cha,Brigitte Lin,Action,1994,1,1
2575,Brainscan,R,96.0,0.0,6.1,John Flynn,Brian Owens,Edward Furlong,Comedy,1994,1,1
2581,Through the Olive Trees,G,103.0,0.0,7.8,Abbas Kiarostami,Abbas Kiarostami,Mohamad Ali Keshavarz,Drama,1995,1,0
2601,The Puppet Masters,R,109.0,0.0,5.9,Stuart Orme,Robert A. Heinlein,Donald Sutherland,Horror,1994,1,6
2603,Backbeat,R,100.0,0.0,6.7,Iain Softley,Iain Softley,Stephen Dorff,Biography,1994,1,1
2604,Leprechaun 2,R,85.0,0.0,4.6,Rodman Flender,Mark Jones,Warwick Davis,Comedy,1994,1,1
2606,Mixed Nuts,PG-13,97.0,0.0,5.4,Nora Ephron,Nora Ephron,Steve Martin,Comedy,1994,1,5
2608,House Party 3,R,100.0,0.0,4.7,Eric Meza,Reginald Hudlin,Christopher Reid,Comedy,1994,1,1
2610,Sleep with Me,R,86.0,0.0,5.7,Rory Kelly,Duane Dell'Amico,Craig Sheffer,Comedy,1994,1,1
2611,Princess Caraboo,PG,97.0,0.0,6.0,Michael Austin,Michael Austin,Phoebe Cates,Comedy,1994,1,1
2612,A Low Down Dirty Shame,R,108.0,0.0,6.0,Keenen Ivory Wayans,Keenen Ivory Wayans,Keenen Ivory Wayans,Action,1994,1,1
2617,A Troll in Central Park,G,76.0,0.0,5.4,Don Bluth,Stu Krieger,Dom DeLuise,Animation,1994,1,5
2624,Mrs. Parker and the Vicious Circle,R,125.0,0.0,6.4,Alan Rudolph,Alan Rudolph,Jennifer Jason Leigh,Biography,1994,1,1
2635,Holy Matrimony,PG-13,93.0,0.0,5.1,Leonard Nimoy,David Weisberg,Patricia Arquette,Comedy,1994,1,5
2637,Squanto: A Warrior's Tale,PG,102.0,0.0,6.0,Xavier Koller,Darlene Craviotto,Adam Beach,Adventure,1994,1,1
2641,Rapa Nui,R,107.0,0.0,6.4,Kevin Reynolds,Kevin Reynolds,Jason Scott Lee,Action,1994,1,1
2647,Braveheart,R,178.0,0.0,8.3,Mel Gibson,Randall Wallace,Mel Gibson,Biography,1995,1,1
2650,Jumanji,PG,104.0,0.0,7.0,Joe Johnston,Jonathan Hensleigh,Robin Williams,Adventure,1995,1,1
2652,Congo,PG-13,109.0,0.0,5.2,Frank Marshall,Michael Crichton,Laura Linney,Action,1995,1,1
2656,Desperado,R,104.0,0.0,7.2,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,Action,1995,1,1
2660,12 Monkeys,R,129.0,0.0,8.0,Terry Gilliam,Chris Marker,Bruce Willis,Mystery,1996,1,1
2661,Leaving Las Vegas,R,111.0,0.0,7.5,Mike Figgis,John O'Brien,Nicolas Cage,Drama,1996,1,1
2662,Showgirls,NC-17,128.0,0.0,4.9,Paul Verhoeven,Joe Eszterhas,Elizabeth Berkley,Drama,1995,1,1
